Cloud URL,Project Key,Field ID,Field Name,Field Type,Translated Field Type
https://jira.skatelescope.org,DAAC,customfield_12808,Objectives,any,N/A
https://jira.skatelescope.org,DAAC,customfield_12807,Stories,any,N/A
https://jira.skatelescope.org,DAAC,customfield_11942,Proof Reading Satisfaction,option,Select List (single choice) or Checkbox
https://jira.skatelescope.org,DAAC,customfield_11703,Due Sprint,option,Select List (single choice) or Checkbox
https://jira.skatelescope.org,DAAC,customfield_11948,Feature Points,number,Number Field
https://jira.skatelescope.org,DAAC,customfield_11949,Outcomes,string,Text Field
https://jira.skatelescope.org,DAAC,customfield_17000,Bug Points,number,Number Field
https://jira.skatelescope.org,DAAC,customfield_11810,Realization,option,Select List (single choice) or Checkbox
https://jira.skatelescope.org,DAAC,customfield_11811,Collaborators,array,Labels
https://jira.skatelescope.org,DAAC,customfield_11801,Impact,option,Select List (single choice) or Checkbox
https://jira.skatelescope.org,DAAC,customfield_11803,Probability,option,Select List (single choice) or Checkbox
https://jira.skatelescope.org,DAAC,customfield_11923,Requirement Status,any,N/A
https://jira.skatelescope.org,DAAC,customfield_11802,Residual Impact,option,Select List (single choice) or Checkbox
https://jira.skatelescope.org,DAAC,customfield_11805,Exposure,any,N/A
https://jira.skatelescope.org,DAAC,customfield_11804,Residual Probability,option,Select List (single choice) or Checkbox
https://jira.skatelescope.org,DAAC,customfield_11807,Treatment,option,Select List (single choice) or Checkbox
https://jira.skatelescope.org,DAAC,customfield_11806,Residual Exposure,any,N/A
https://jira.skatelescope.org,DAAC,customfield_11809,Contingency plan,string,Text Field
https://jira.skatelescope.org,DAAC,customfield_11808,Treatment plan,string,Text Field
https://jira.skatelescope.org,DAAC,customfield_11918,End Date,datetime,Date Time Picker
https://jira.skatelescope.org,DAAC,customfield_17326,Severity Index,any,N/A
https://jira.skatelescope.org,DAAC,customfield_15029,T0 PWE,number,Number Field
https://jira.skatelescope.org,DAAC,customfield_15011,Time to remove team member,sd-servicelevelagreement,N/A
https://jira.skatelescope.org,DAAC,customfield_15010,rfSlaIndex,any,N/A
https://jira.skatelescope.org,DAAC,customfield_14168,Date,date,Date Picker
https://jira.skatelescope.org,DAAC,customfield_15014,Risk Category,array,Labels
https://jira.skatelescope.org,DAAC,customfield_14820,IPS Finish,date,Date Picker
https://jira.skatelescope.org,DAAC,customfield_15903,Original story points,number,Number Field
https://jira.skatelescope.org,DAAC,customfield_14814,Use Cases,any,N/A
https://jira.skatelescope.org,DAAC,customfield_15904,Team,any,N/A
https://jira.skatelescope.org,DAAC,customfield_15901,Target start,date,Date Picker
https://jira.skatelescope.org,DAAC,customfield_15902,Target end,date,Date Picker
https://jira.skatelescope.org,DAAC,customfield_14819,IPS Start,date,Date Picker
https://jira.skatelescope.org,DAAC,customfield_15900,Parent Link,any,N/A
https://jira.skatelescope.org,DAAC,customfield_13601,Severity,option,Select List (single choice) or Checkbox
https://jira.skatelescope.org,DAAC,customfield_14807,Pre-Conditions,string,Text Field
https://jira.skatelescope.org,DAAC,customfield_14800,Informed By,array,Labels
https://jira.skatelescope.org,DAAC,customfield_13703,Environment(s),array,Labels
https://jira.skatelescope.org,DAAC,customfield_13700,SubTasks,any,N/A
https://jira.skatelescope.org,DAAC,customfield_11400,issueFunction,any,N/A
https://jira.skatelescope.org,DAAC,customfield_12722,Hazard Class_current,any,N/A
https://jira.skatelescope.org,DAAC,customfield_14900,IPS Status,array,Labels
